disasterNumber,declarationType,declarationDate,declarationTitle,designatedArea
4341,DR,2017-09-27 00:00:00+00:00,HURRICANE IRMA - SEMINOLE TRIBE OF FLORIDA,"Big Cypress Indian Reservation,Hollywood Indian Reservation,Tampa Reservation,Fort Pierce Indian Reservation,Brighton Indian Reservation,Immokalee Indian Reservation"
3395,EM,2017-10-08 00:00:00+00:00,HURRICANE NATE,"Santa Rosa (County),Escambia (County)"
3405,EM,2018-10-09 00:00:00+00:00,HURRICANE MICHAEL,"Manatee (County),Hamilton (County),Santa Rosa (County),Baker (County),Taylor (County),Pinellas (County),Jackson (County),Alachua (County),Franklin (County),Levy (County),Union (County),Bradford (County),Hillsborough (County),Okaloosa (County),Citrus (County),Jefferson (County),Hernando (County),Gadsden (County),Washington (County),Wakulla (County),Bay (County),Madison (County),Leon (County),Escambia (County),Pasco (County),Liberty (County),Calhoun (County),Dixie (County),Suwannee (County),Lafayette (County),Columbia (County),Walton (County),Holmes (County),Gilchrist (County),Gulf (County)"
4399,DR,2018-10-11 00:00:00+00:00,HURRICANE MICHAEL,"Leon (County),Bay (County),Liberty (County),Gadsden (County),Walton (County),Taylor (County),Jackson (County),Gulf (County),Hamilton (County),Washington (County),Franklin (County),Madison (County),Wakulla (County),Suwannee (County),Okaloosa (County),Calhoun (County),Jefferson (County),Holmes (County)"
3419,EM,2019-08-30 00:00:00+00:00,HURRICANE DORIAN,"Bay (County),Seminole (County),Sarasota (County),Osceola (County),Leon (County),Monroe (County),Calhoun (County),Taylor (County),Columbia (County),Jackson (County),Glades (County),Baker (County),Hernando (County),Gulf (County),Putnam (County),Levy (County),Liberty (County),Nassau (County),Union (County),Broward (County),Duval (County),Escambia (County),Lee (County),Marion (County),Orange (County),Santa Rosa (County),Walton (County),Washington (County),Suwannee (County),Jefferson (County),Martin (County),Palm Beach (County),Flagler (County),Volusia (County),St. Johns (County),Okaloosa (County),Madison (County),Lafayette (County),Hamilton (County),Highlands (County),Alachua (County),Bradford (County),Indian River (County),Gilchrist (County),Collier (County),Pinellas (County),Holmes (County),Gadsden (County),Clay (County),Polk (County),Citrus (County),DeSoto (County),Hillsborough (County),Franklin (County),Wakulla (County),St. Lucie (County),Okeechobee (County),Manatee (County),Lake (County),Charlotte (County),Hardee (County),Hendry (County),Miami-Dade (County),Pasco (County),Brevard (County),Sumter (County),Dixie (County)"
3420,EM,2019-08-31 00:00:00+00:00,HURRICANE DORIAN,"Brighton Indian Reservation,Hollywood Indian Reservation,Tampa Reservation,Immokalee Indian Reservation,Fort Pierce Indian Reservation,Big Cypress Indian Reservation"
4468,DR,2019-10-21 00:00:00+00:00,HURRICANE DORIAN,"Broward (County),Nassau (County),Palm Beach (County),Osceola (County),Flagler (County),Volusia (County),Duval (County),St. Lucie (County),Putnam (County),Brevard (County),Martin (County),Indian River (County),St. Johns (County),Seminole (County)"
3533,EM,2020-08-01 00:00:00+00:00,HURRICANE ISAIAS,"St. Johns (County),Seminole (County),Brevard (County),Monroe (County),Putnam (County),Clay (County),Orange (County),Duval (County),Volusia (County),Indian River (County),Okeechobee (County),Martin (County),Nassau (County),Osceola (County),Miami-Dade (County),Broward (County),St. Lucie (County),Flagler (County),Palm Beach (County)"
3546,EM,2020-09-15 00:00:00+00:00,HURRICANE SALLY,"Gulf (County),Escambia (County),Jackson (County),Bay (County),Santa Rosa (County),Franklin (County),Gadsden (County),Calhoun (County),Okaloosa (County),Walton (County),Washington (County),Holmes (County),Liberty (County)"
4564,DR,2020-09-23 00:00:00+00:00,HURRICANE SALLY,"Calhoun (County),Gadsden (County),Gulf (County),Walton (County),Washington (County),Holmes (County),Jackson (County),Escambia (County),Franklin (County),Jefferson (County),Bay (County),Liberty (County),Santa Rosa (County),Okaloosa (County)"
3551,EM,2020-11-11 00:00:00+00:00,HURRICANE ETA,"Pinellas (County),Levy (County),Marion (County),Pasco (County),Hillsborough (County),Manatee (County),Gilchrist (County),Sumter (County),Dixie (County),Sarasota (County),Citrus (County),Alachua (County),Hernando (County)"
3562,EM,2021-08-16 00:00:00+00:00,TROPICAL STORM FRED,"Holmes (County),Escambia (County),Jefferson (County),Walton (County),Gilchrist (County),Liberty (County),Okaloosa (County),Manatee (County),Taylor (County),Leon (County),Franklin (County),Wakulla (County),Jackson (County),Calhoun (County),Washington (County),Lafayette (County),Citrus (County),Santa Rosa (County),Gadsden (County),Gulf (County),Bay (County),Dixie (County),Levy (County)"
3584,EM,2022-09-24 00:00:00+00:00,TROPICAL STORM IAN,"Sumter (County),Okeechobee (County),Jackson (County),Martin (County),Seminole (County),Calhoun (County),St. Johns (County),Madison (County),Miccosukee Indian Reservation,Collier (County),Osceola (County),Pinellas (County),Nassau (County),Lake (County),Escambia (County),Brevard (County),Flagler (County),Hardee (County),Franklin (County),Hendry (County),Okaloosa (County),Gilchrist (County),Highlands (County),Leon (County),St. Lucie (County),Gadsden (County),Hillsborough (County),Levy (County),Sarasota (County),Suwannee (County),Union (County),Volusia (County),Clay (County),Holmes (County),Charlotte (County),Putnam (County),Orange (County),Liberty (County),Baker (County),Seminole Indian Trust Lands,Washington (County),Santa Rosa (County),Manatee (County),Walton (County),Jefferson (County),Columbia (County),Alachua (County),Palm Beach (County),Lee (County),Hernando (County),Broward (County),Wakulla (County),Polk (County),Marion (County),Gulf (County),Bradford (County),Indian River (County),Hamilton (County),Monroe (County),Miami-Dade (County),Citrus (County),DeSoto (County),Duval (County),Bay (County),Dixie (County),Glades (County),Taylor (County),Lafayette (County),Pasco (County)"
4673,DR,2022-09-29 00:00:00+00:00,HURRICANE IAN,"Jefferson (County),Sumter (County),Gilchrist (County),Clay (County),Poarch Creek Reservation and Trust Lands (also AL),Okeechobee (County),Holmes (County),Hernando (County),Seminole Indian Trust Lands,Seminole (County),Franklin (County),Calhoun (County),Okaloosa (County),Madison (County),Hollywood Indian Reservation,Glades (County),Tampa Reservation,Sarasota (County),Suwannee (County),Manatee (County),Highlands (County),Charlotte (County),Lake (County),Collier (County),Lafayette (County),Hardee (County),Wakulla (County),Miami-Dade (County),Baker (County),Broward (County),Hamilton (County),Gulf (County),Alachua (County),Palm Beach (County),Taylor (County),Bradford (County),Polk (County),St. Lucie (County),Indian River (County),Big Cypress Indian Reservation,Gadsden (County),Leon (County),Santa Rosa (County),Levy (County),Volusia (County),Flagler (County),Liberty (County),Osceola (County),Marion (County),Monroe (County),Walton (County),Nassau (County),Brevard (County),Pasco (County),Escambia (County),Jackson (County),Hendry (County),Brighton Indian Reservation,Miccosukee Indian Reservation,Immokalee Indian Reservation,Fort Pierce Indian Reservation,Bay (County),Dixie (County),Citrus (County),Lee (County),Union (County),Pinellas (County),Martin (County),Florida Tribe of Eastern Creek (TDSA),St. Johns (County),Duval (County),Washington (County),Orange (County),Putnam (County),Columbia (County),DeSoto (County),Hillsborough (County)"
4675,DR,2022-09-30 00:00:00+00:00,HURRICANE IAN - SEMINOLE TRIBE OF FLORIDA,"Big Cypress Indian Reservation,Brighton Indian Reservation,Fort Pierce Indian Reservation,Hollywood Indian Reservation,Immokalee Indian Reservation,Tampa Reservation,Seminole Indian Trust Lands"
4680,DR,2022-12-13 00:00:00+00:00,HURRICANE NICOLE,"Hendry (County),Hernando (County),Bradford (County),Dixie (County),Franklin (County),Leon (County),Okeechobee (County),Sarasota (County),Sumter (County),Union (County),Broward (County),Highlands (County),Levy (County),DeSoto (County),Orange (County),Hamilton (County),Jefferson (County),Polk (County),Washington (County),Charlotte (County),Hardee (County),Lee (County),Citrus (County),Gadsden (County),Hillsborough (County),Liberty (County),Osceola (County),Pasco (County),Calhoun (County),Baker (County),Wakulla (County),Pinellas (County),Martin (County),Volusia (County),Nassau (County),Palm Beach (County),Duval (County),St. Lucie (County),Lake (County),Putnam (County),Brevard (County),Flagler (County),Indian River (County),St. Johns (County),Miccosukee Indian Reservation,Clay (County),Gilchrist (County),Holmes (County),Madison (County),Marion (County),Seminole (County),Seminole Indian Trust Lands,Collier (County),Glades (County),Manatee (County),Taylor (County),Alachua (County),Columbia (County),Gulf (County),Jackson (County),Lafayette (County),Miami-Dade (County),Suwannee (County)"
