,Irma,Ian,Wilma,Frances,Jeanne,Charley,Ivan,Michael
33055,13387.0,5.0,6584.0,771.0,0.0,0.0,0.0,0.0
33056,11492.0,11.0,5430.0,1155.0,0.0,0.0,0.0,0.0
33057,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33058,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33059,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
33060,7595.0,3.0,4796.0,804.0,0.0,0.0,0.0,0.0
33061,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
33062,2588.0,2.0,3340.0,134.0,0.0,1.0,0.0,0.0
33063,8077.0,9.0,7924.0,360.0,0.0,0.0,0.0,0.0
33064,9541.0,5.0,7986.0,825.0,1.0,0.0,0.0,1.0
33065,8593.0,3.0,6332.0,390.0,1.0,0.0,0.0,1.0
33066,1252.0,2.0,1477.0,57.0,0.0,0.0,0.0,0.0
33067,2170.0,1.0,3362.0,193.0,1.0,0.0,0.0,1.0
33068,11694.0,8.0,7591.0,624.0,0.0,0.0,0.0,0.0
33069,4314.0,4.0,2499.0,463.0,0.0,0.0,0.0,0.0
33070,2188.0,50.0,405.0,0.0,0.0,27.0,0.0,0.0
33071,3581.0,3.0,4543.0,164.0,0.0,0.0,0.0,0.0
33072,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
33073,3236.0,2.0,3869.0,260.0,0.0,0.0,0.0,0.0
33074,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
33075,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
33076,1431.0,2.0,2501.0,54.0,1.0,0.0,0.0,1.0
33077,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
33078,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
33079,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33082,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
33083,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33084,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33090,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
33091,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
33092,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33093,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33094,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
33097,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
33098,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33101,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
33102,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
33103,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
33104,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33105,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33106,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33107,1.0,0.0,13.0,4.0,0.0,0.0,0.0,0.0
33109,36.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0
33110,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33111,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0
33112,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
33114,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
33115,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33116,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
33117,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33119,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33121,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
33122,112.0,0.0,60.0,2.0,0.0,0.0,0.0,0.0
33124,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
33125,16717.0,3.0,2579.0,187.0,1.0,0.0,0.0,1.0
33126,12480.0,3.0,2013.0,49.0,0.0,0.0,0.0,0.0
33127,9211.0,7.0,3181.0,1113.0,0.0,0.0,0.0,0.0
33128,2223.0,0.0,181.0,38.0,0.0,0.0,0.0,0.0
33129,2266.0,3.0,466.0,12.0,0.0,0.0,0.0,0.0
33130,6257.0,3.0,501.0,39.0,0.0,0.0,0.0,0.0
33131,1320.0,2.0,93.0,7.0,0.0,0.0,0.0,0.0
33132,1224.0,4.0,136.0,14.0,0.0,0.0,0.0,0.0
33133,7264.0,2.0,1797.0,254.0,0.0,0.0,0.0,0.0
33134,6870.0,4.0,1835.0,39.0,0.0,0.0,0.0,0.0
33135,10647.0,3.0,1507.0,76.0,0.0,0.0,0.0,0.0
33136,4894.0,2.0,1114.0,952.0,0.0,0.0,0.0,0.0
33137,4356.0,5.0,984.0,166.0,0.0,0.0,0.0,0.0
33138,6843.0,2.0,2991.0,453.0,0.0,0.0,0.0,0.0
33139,5476.0,5.0,769.0,64.0,0.0,0.0,0.0,0.0
33140,2652.0,0.0,552.0,21.0,0.0,0.0,0.0,0.0
33141,8668.0,2.0,2009.0,101.0,0.0,0.0,0.0,0.0
33142,18199.0,9.0,5973.0,2341.0,3.0,0.0,0.0,3.0
33143,4659.0,0.0,1579.0,112.0,0.0,0.0,0.0,0.0
33144,6886.0,0.0,1993.0,50.0,0.0,0.0,0.0,0.0
33145,7490.0,4.0,1708.0,61.0,0.0,0.0,0.0,0.0
33146,978.0,1.0,411.0,3.0,0.0,0.0,0.0,0.0
33147,16722.0,10.0,7120.0,2191.0,0.0,0.0,0.0,0.0
33148,3.0,0.0,9.0,5.0,0.0,0.0,0.0,0.0
33149,655.0,1.0,108.0,9.0,0.0,0.0,0.0,0.0
33150,9884.0,6.0,4226.0,1414.0,0.0,0.0,0.0,0.0
33151,2.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0
33152,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
33153,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33154,1543.0,0.0,382.0,9.0,0.0,0.0,0.0,0.0
33155,10041.0,5.0,3813.0,50.0,0.0,0.0,0.0,0.0
33156,3934.0,3.0,1480.0,20.0,0.0,0.0,0.0,0.0
33157,16175.0,9.0,4640.0,800.0,0.0,0.0,1.0,0.0
33158,726.0,0.0,325.0,1.0,0.0,0.0,0.0,0.0
33159,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
33160,5011.0,8.0,1342.0,57.0,0.0,0.0,0.0,0.0
33161,15833.0,5.0,5716.0,917.0,0.0,0.0,0.0,0.0
33162,12737.0,8.0,5272.0,599.0,0.0,0.0,0.0,0.0
33163,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
33164,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
33165,13745.0,4.0,4318.0,55.0,0.0,0.0,0.0,0.0
33166,4643.0,2.0,1841.0,45.0,0.0,0.0,0.0,0.0
33167,6547.0,4.0,2740.0,587.0,0.0,0.0,0.0,0.0
33168,8080.0,4.0,3733.0,528.0,0.0,0.0,0.0,0.0
33169,13139.0,8.0,4957.0,844.0,0.0,0.0,0.0,0.0
33170,4052.0,0.0,1251.0,377.0,0.0,0.0,0.0,0.0
33171,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33172,8449.0,5.0,1993.0,74.0,0.0,0.0,0.0,0.0
33173,5536.0,0.0,2002.0,24.0,0.0,0.0,0.0,0.0
33174,6673.0,3.0,1949.0,61.0,1.0,0.0,0.0,1.0
33175,11457.0,2.0,3875.0,69.0,0.0,0.0,0.0,0.0
33176,8894.0,7.0,2803.0,220.0,0.0,0.0,0.0,0.0
33177,13799.0,8.0,3434.0,263.0,0.0,0.0,0.0,0.0
33178,4563.0,2.0,877.0,15.0,0.0,0.0,0.0,0.0
33179,9679.0,8.0,3826.0,262.0,0.0,1.0,0.0,0.0
33180,2651.0,3.0,1140.0,25.0,0.0,0.0,0.0,0.0
33181,4708.0,3.0,1524.0,92.0,0.0,1.0,0.0,0.0
33182,2359.0,1.0,1117.0,11.0,0.0,0.0,0.0,0.0
33183,6098.0,3.0,1763.0,29.0,0.0,0.0,0.0,0.0
33184,4883.0,2.0,1701.0,56.0,0.0,0.0,0.0,0.0
33185,4320.0,2.0,1254.0,9.0,0.0,0.0,0.0,0.0
33186,11944.0,5.0,3398.0,71.0,0.0,0.0,0.0,0.0
33187,4206.0,1.0,1364.0,17.0,0.0,0.0,0.0,0.0
33188,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
33189,6622.0,1.0,1558.0,160.0,0.0,0.0,0.0,0.0
33190,4157.0,1.0,507.0,40.0,0.0,0.0,0.0,0.0
33192,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33193,9083.0,1.0,2475.0,59.0,0.0,0.0,0.0,0.0
33194,1062.0,5.0,167.0,6.0,0.0,0.0,0.0,0.0
33195,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
33196,9342.0,1.0,1877.0,29.0,0.0,0.0,0.0,0.0
33197,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
33198,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33199,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33201,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33203,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
33204,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33205,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33208,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33210,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
33218,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33219,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
33221,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33222,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33224,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33231,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33233,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
33234,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
33238,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33239,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
33242,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33243,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
33246,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33247,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33250,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33254,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33255,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33256,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33257,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33260,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33261,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0
33262,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33265,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
33266,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
33268,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33269,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
33272,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33278,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33280,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
33282,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33283,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
33285,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33299,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
33301,1249.0,2.0,943.0,31.0,0.0,0.0,0.0,0.0
33302,2.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
33303,2.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0
33304,3522.0,5.0,2241.0,112.0,0.0,0.0,0.0,0.0
33305,1927.0,2.0,1621.0,82.0,0.0,0.0,0.0,0.0
33306,434.0,0.0,552.0,25.0,0.0,0.0,0.0,0.0
33307,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
33308,2586.0,2.0,2803.0,102.0,0.0,0.0,0.0,0.0
33309,7910.0,11.0,5587.0,513.0,0.0,0.0,0.0,0.0
33310,4.0,1.0,8.0,15.0,0.0,0.0,0.0,0.0
33311,21022.0,23.0,10283.0,2444.0,1.0,1.0,1.0,1.0
33312,10785.0,8.0,7641.0,634.0,0.0,0.0,0.0,0.0
33313,15451.0,17.0,8469.0,1146.0,0.0,0.0,1.0,0.0
33314,5650.0,7.0,3738.0,216.0,0.0,0.0,0.0,0.0
33315,2293.0,2.0,1660.0,88.0,0.0,0.0,0.0,0.0
33316,1188.0,2.0,1078.0,42.0,0.0,0.0,0.0,0.0
33317,6380.0,1.0,5428.0,253.0,0.0,0.0,0.0,0.0
33318,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33319,9259.0,9.0,6198.0,359.0,0.0,0.0,0.0,0.0
33320,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
33321,7038.0,4.0,5855.0,213.0,0.0,0.0,0.0,0.0
33322,5359.0,5.0,5739.0,233.0,0.0,0.0,0.0,0.0
33323,2555.0,2.0,3163.0,164.0,0.0,0.0,0.0,0.0
33324,5464.0,13.0,4740.0,128.0,0.0,0.0,0.0,0.0
